iter	RMSE
0	0.8091480728
1	0.7849113399
2	0.7646980488
3	0.7447216086
4	0.7278296261
5	0.7149505105
6	0.7019249778
7	0.6885828378
8	0.6784312147
9	0.6679842167
10	0.6595647061
11	0.6511442228
12	0.642518991
13	0.6372816189
14	0.6300041926
15	0.6231982419
16	0.6167012747
17	0.6108032362
18	0.6051562289
19	0.6001945477
20	0.5966214685
21	0.5934020211
22	0.5895027882
23	0.5849833886
24	0.579970655
25	0.5778302212
26	0.5738567521
27	0.5702870355
28	0.5670817933
29	0.5635846271
30	0.560707551
31	0.5584234927
32	0.5564389173
33	0.5536928083
34	0.5501738263
35	0.5455865096
36	0.5435911495
37	0.5391795383
38	0.5369195289
39	0.5357425698
40	0.5342769094
41	0.5316562455
42	0.5293537638
43	0.5287724075
44	0.5275730045
45	0.5265930598
46	0.5223164509
47	0.5209143381
48	0.51987798
49	0.5182528997
50	0.5176946663
51	0.5168465969
52	0.5143301316
53	0.511948082
54	0.5106822505
55	0.5083050896
56	0.5067361655
57	0.5056748519
58	0.5042453478
59	0.5038095645
60	0.5009149101
61	0.4989545414
62	0.4978956124
63	0.4969712948
64	0.4957595675
65	0.4949970509
66	0.4936019501
67	0.491812044
68	0.4867554234
69	0.4854487905
70	0.4847212868
71	0.4829658208
72	0.4811229303
73	0.4806962905
74	0.47858183
75	0.4756258418
76	0.4745363062
77	0.4730156163
78	0.472677259
79	0.4710298495
80	0.4706971848
81	0.4702398707
82	0.4682535841
83	0.4679812464
84	0.4676865529
85	0.4646840702
86	0.4607611122
87	0.4604497266
88	0.4580011342
89	0.4557952617
90	0.4528229556
91	0.4514710861
92	0.4489424052
93	0.4471766992
94	0.4433386321
95	0.4410578879
96	0.4371589187
97	0.4352992561
98	0.4350022698
99	0.4346348886
