iter	Passed	Remaining
0	0	76
1	1	69
2	2	66
3	2	63
4	3	59
5	3	56
6	4	62
7	5	59
8	5	56
9	6	55
10	7	58
11	8	61
12	8	59
13	9	57
14	9	56
15	10	54
16	10	53
17	11	51
18	12	51
19	12	50
20	12	48
21	13	47
22	13	46
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	17	41
30	18	40
31	18	39
32	19	38
33	19	37
34	19	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	33
41	24	33
42	24	33
43	25	32
44	25	31
45	26	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	26
51	28	26
52	28	25
53	29	24
54	29	24
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	31	20
61	32	19
62	32	19
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	34	15
69	35	15
70	35	14
71	35	13
72	36	13
73	36	12
74	36	12
75	37	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	39	8
83	40	7
84	40	7
85	40	6
86	41	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	43	2
94	44	2
95	44	1
96	44	1
97	45	0
98	45	0
99	45	0
